1.00,"Lasagna","Lasagna 6 oz",90706287103.00,"6 oz","Cold Gourmet","Frozen Foods","Food","Grocery","box","Diet",6.00,"oz",48.00,192.00,8.00,5.00,3.00,5.00
2.00,"Beef Stew","Beef Stew 6 oz",16005393282.00,"6 oz","Cold Gourmet","Frozen Foods","Food","Grocery","box","Regular",6.00,"oz",48.00,192.00,8.00,7.00,3.00,5.00
3.00,"Turkey Dinner","Turkey Dinner 8 oz",57986858339.00,"8 oz","Frozen Bird","Frozen Foods","Food","Grocery","box","Diet",8.00,"oz",96.00,384.00,8.00,7.00,3.00,5.00
4.00,"Chicken Dinner","Chicken Dinner 8 oz",67955177490.00,"8 oz","Frozen Bird","Frozen Foods","Food","Grocery","box","Regular",8.00,"oz",96.00,384.00,8.00,7.00,3.00,5.00
5.00,"Extra Nougat","Extra Nougat 2 oz",46817560065.00,"2 oz","Chewy Industries","Candy","Food","Grocery","can","Regular",2.00,"oz",48.00,192.00,12.00,3.00,6.00,3.00
6.00,"Lots of Nuts","Lots of Nuts 2 oz",84276830332.00,"2 oz","Chewy Industries","Candy","Food","Grocery","can","Regular",2.00,"oz",48.00,192.00,12.00,3.00,6.00,3.00
7.00,"Sweet Tooth","Sweet Tooth 2 oz",51770124461.00,"2 oz","Chewy Industries","Candy","Food","Grocery","bottle","Regular",2.00,"oz",72.00,288.00,12.00,3.00,8.00,3.00
8.00,"Fizzy Light","Fizzy Light 6 oz",33411763259.00,"6 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Diet",6.00,"oz",48.00,192.00,8.00,5.00,6.00,5.00
9.00,"Fizzy Classic","Fizzy Classic 6 oz",95946398896.00,"6 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Regular",6.00,"oz",48.00,192.00,8.00,5.00,6.00,5.00
10.00,"Athletic Drink","Athletic Drink 6 oz",88602993232.00,"6 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Diet",6.00,"oz",48.00,192.00,8.00,5.00,6.00,5.00
11.00,"Strong Cola","Strong Cola 8 oz",59015963215.00,"8 oz","National Bottle","Soft Drinks","Drinks","Grocery","can","Regular",8.00,"oz",48.00,192.00,8.00,5.00,6.00,5.00
12.00,"Clear Refresher","Clear Refresher 6 oz",94794170004.00,"6 oz","National Bottle","Soft Drinks","Drinks","Grocery","can","Diet",6.00,"oz",48.00,192.00,8.00,5.00,6.00,5.00
13.00,"Paper Towels","Paper Towels 8 oz",22563048263.00,"8 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","plastic bag","NA",8.00,"oz",16.00,64.00,16.00,9.00,13.00,5.00
14.00,"Dry Tissues","Dry Tissues 5 oz",20716427467.00,"5 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","box","NA",5.00,"oz",48.00,192.00,16.00,4.00,2.00,3.00
15.00,"Wet Wipes","Wet Wipes 8 oz",65053589655.00,"8 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","plastic box","NA",8.00,"oz",48.00,192.00,16.00,8.00,5.00,4.00
16.00,"Salty Corn","Salty Corn 2 oz",80323441322.00,"2 oz","American Corn","Salty Snacks","Food","Grocery","bag","Regular",2.00,"oz",24.00,96.00,12.00,12.00,5.00,4.00
17.00,"Dried Grits","Dried Grits 2 oz",15536655574.00,"2 oz","American Corn","Salty Snacks","Food","Grocery","bag","Diet",2.00,"oz",24.00,96.00,12.00,12.00,5.00,4.00
18.00,"Power Chips","Power Chips 3 oz",44513822387.00,"3 oz","American Corn","Salty Snacks","Food","Grocery","bag","Regular",3.00,"oz",24.00,96.00,12.00,12.00,5.00,4.00
19.00,"Onion Slices","Onion Slices 3 oz",49269095527.00,"3 oz","Western Vegetable","Salty Snacks","Food","Grocery","bag","Regular",3.00,"oz",24.00,96.00,12.00,6.00,6.00,4.00
20.00,"Buffalo Jerky","Buffalo Jerky 3 oz",40806606950.00,"3 oz","Western Vegetable","Salty Snacks","Food","Grocery","bag","Regular",3.00,"oz",24.00,96.00,12.00,5.00,3.00,2.00
21.00,"Lasagna","Lasagna 9 oz",35932897460.00,"9 oz","Cold Gourmet","Frozen Foods","Food","Grocery","box","Diet",9.00,"oz",32.00,128.00,8.00,5.75,3.45,5.75
22.00,"Beef Stew","Beef Stew 9 oz",34551157058.00,"9 oz","Cold Gourmet","Frozen Foods","Food","Grocery","box","Regular",9.00,"oz",32.00,128.00,8.00,8.05,3.45,5.75
23.00,"Turkey Dinner","Turkey Dinner 12 oz",71307965759.00,"12 oz","Frozen Bird","Frozen Foods","Food","Grocery","box","Diet",12.00,"oz",64.00,256.00,8.00,8.05,3.45,5.75
24.00,"Chicken Dinner","Chicken Dinner 12 oz",25464035081.00,"12 oz","Frozen Bird","Frozen Foods","Food","Grocery","box","Regular",12.00,"oz",64.00,256.00,8.00,8.05,3.45,5.75
25.00,"Extra Nougat","Extra Nougat 3 oz",98524228144.00,"3 oz","Chewy Industries","Candy","Food","Grocery","can","Regular",3.00,"oz",32.00,128.00,12.00,3.45,6.90,3.45
26.00,"Lots of Nuts","Lots of Nuts 3 oz",24247989491.00,"3 oz","Chewy Industries","Candy","Food","Grocery","can","Regular",3.00,"oz",32.00,128.00,12.00,3.45,6.90,3.45
27.00,"Sweet Tooth","Sweet Tooth 3 oz",10787621276.00,"3 oz","Chewy Industries","Candy","Food","Grocery","bottle","Regular",3.00,"oz",48.00,192.00,12.00,3.45,9.20,3.45
28.00,"Fizzy Light","Fizzy Light 9 oz",92822703206.00,"9 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Diet",9.00,"oz",32.00,128.00,8.00,5.75,6.90,5.75
29.00,"Fizzy Classic","Fizzy Classic 9 oz",74695428497.00,"9 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Regular",9.00,"oz",32.00,128.00,8.00,5.75,6.90,5.75
30.00,"Athletic Drink","Athletic Drink 9 oz",48530259240.00,"9 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Diet",9.00,"oz",32.00,128.00,8.00,5.75,6.90,5.75
31.00,"Strong Cola","Strong Cola 12 oz",10478516528.00,"12 oz","National Bottle","Soft Drinks","Drinks","Grocery","can","Regular",12.00,"oz",32.00,128.00,8.00,5.75,6.90,5.75
32.00,"Clear Refresher","Clear Refresher 9 oz",89835195915.00,"9 oz","National Bottle","Soft Drinks","Drinks","Grocery","can","Diet",9.00,"oz",32.00,128.00,8.00,5.75,6.90,5.75
33.00,"Paper Towels","Paper Towels 12 oz",62974321939.00,"12 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","plastic bag","NA",12.00,"oz",8.00,32.00,16.00,10.35,14.95,5.75
34.00,"Dry Tissues","Dry Tissues 7.5 oz",43507173902.00,"7.5 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","box","NA",7.50,"oz",32.00,128.00,16.00,4.60,2.30,3.45
35.00,"Wet Wipes","Wet Wipes 12 oz",92028763643.00,"12 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","plastic box","NA",12.00,"oz",32.00,128.00,16.00,9.20,5.75,4.60
36.00,"Salty Corn","Salty Corn 3 oz",54983505685.00,"3 oz","American Corn","Salty Snacks","Food","Grocery","bag","Regular",3.00,"oz",16.00,64.00,12.00,13.80,5.75,4.60
37.00,"Dried Grits","Dried Grits 3 oz",11184804406.00,"3 oz","American Corn","Salty Snacks","Food","Grocery","bag","Diet",3.00,"oz",16.00,64.00,12.00,13.80,5.75,4.60
38.00,"Power Chips","Power Chips 4.5 oz",51364643658.00,"4.5 oz","American Corn","Salty Snacks","Food","Grocery","bag","Regular",4.50,"oz",16.00,64.00,12.00,13.80,5.75,4.60
39.00,"Onion Slices","Onion Slices 4.5 oz",72546822646.00,"4.5 oz","Western Vegetable","Salty Snacks","Food","Grocery","bag","Regular",4.50,"oz",16.00,64.00,12.00,6.90,6.90,4.60
40.00,"Buffalo Jerky","Buffalo Jerky 4.5 oz",37331588167.00,"4.5 oz","Western Vegetable","Salty Snacks","Food","Grocery","bag","Regular",4.50,"oz",16.00,64.00,12.00,5.75,3.45,2.30
41.00,"Lasagna","Lasagna 13.5 oz",84302852271.00,"13.5 oz","Cold Gourmet","Frozen Foods","Food","Grocery","box","Diet",13.50,"oz",20.00,80.00,8.00,6.61,3.96,6.61
42.00,"Beef Stew","Beef Stew 13.5 oz",23430942207.00,"13.5 oz","Cold Gourmet","Frozen Foods","Food","Grocery","box","Regular",13.50,"oz",20.00,80.00,8.00,9.25,3.96,6.61
43.00,"Turkey Dinner","Turkey Dinner 18 oz",77016028053.00,"18 oz","Frozen Bird","Frozen Foods","Food","Grocery","box","Diet",18.00,"oz",40.00,160.00,8.00,9.25,3.96,6.61
44.00,"Chicken Dinner","Chicken Dinner 18 oz",83931167559.00,"18 oz","Frozen Bird","Frozen Foods","Food","Grocery","box","Regular",18.00,"oz",40.00,160.00,8.00,9.25,3.96,6.61
45.00,"Extra Nougat","Extra Nougat 4.5 oz",76234081227.00,"4.5 oz","Chewy Industries","Candy","Food","Grocery","can","Regular",4.50,"oz",20.00,80.00,12.00,3.96,7.93,3.96
46.00,"Lots of Nuts","Lots of Nuts 4.5 oz",85681418862.00,"4.5 oz","Chewy Industries","Candy","Food","Grocery","can","Regular",4.50,"oz",20.00,80.00,12.00,3.96,7.93,3.96
47.00,"Sweet Tooth","Sweet Tooth 4.5 oz",32943352203.00,"4.5 oz","Chewy Industries","Candy","Food","Grocery","bottle","Regular",4.50,"oz",32.00,128.00,12.00,3.96,10.58,3.96
48.00,"Fizzy Light","Fizzy Light 13.5 oz",59632819867.00,"13.5 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Diet",13.50,"oz",20.00,80.00,8.00,6.61,7.93,6.61
49.00,"Fizzy Classic","Fizzy Classic 13.5 oz",64758233722.00,"13.5 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Regular",13.50,"oz",20.00,80.00,8.00,6.61,7.93,6.61
50.00,"Athletic Drink","Athletic Drink 13.5 oz",63998140597.00,"13.5 oz","Big Can","Soft Drinks","Drinks","Grocery","can","Diet",13.50,"oz",20.00,80.00,8.00,6.61,7.93,6.61
51.00,"Strong Cola","Strong Cola 18 oz",78532224693.00,"18 oz","National Bottle","Soft Drinks","Drinks","Grocery","can","Regular",18.00,"oz",20.00,80.00,8.00,6.61,7.93,6.61
52.00,"Clear Refresher","Clear Refresher 13.5 oz",26124581284.00,"13.5 oz","National Bottle","Soft Drinks","Drinks","Grocery","can","Diet",13.50,"oz",20.00,80.00,8.00,6.61,7.93,6.61
53.00,"Paper Towels","Paper Towels 18 oz",99257418302.00,"18 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","plastic bag","NA",18.00,"oz",4.00,16.00,16.00,11.90,17.19,6.61
54.00,"Dry Tissues","Dry Tissues 11.2 oz",46205094999.00,"11.2 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","box","NA",11.25,"oz",20.00,80.00,16.00,5.29,2.64,3.96
55.00,"Wet Wipes","Wet Wipes 18 oz",26231258086.00,"18 oz","Squeezable Inc","Cleaning Supplies","Supplies","Household","plastic box","NA",18.00,"oz",20.00,80.00,16.00,10.58,6.61,5.29
56.00,"Salty Corn","Salty Corn 4.5 oz",21628878100.00,"4.5 oz","American Corn","Salty Snacks","Food","Grocery","bag","Regular",4.50,"oz",8.00,32.00,12.00,15.87,6.61,5.29
57.00,"Dried Grits","Dried Grits 4.5 oz",55681968175.00,"4.5 oz","American Corn","Salty Snacks","Food","Grocery","bag","Diet",4.50,"oz",8.00,32.00,12.00,15.87,6.61,5.29
58.00,"Power Chips","Power Chips 6.7 oz",43992125296.00,"6.7 oz","American Corn","Salty Snacks","Food","Grocery","bag","Regular",6.75,"oz",8.00,32.00,12.00,15.87,6.61,5.29
59.00,"Onion Slices","Onion Slices 6.7 oz",50616533214.00,"6.7 oz","Western Vegetable","Salty Snacks","Food","Grocery","bag","Regular",6.75,"oz",8.00,32.00,12.00,7.93,7.93,5.29
60.00,"Buffalo Jerky","Buffalo Jerky 6.7 oz",69467630292.00,"6.7 oz","Western Vegetable","Salty Snacks","Food","Grocery","bag","Regular",6.75,"oz",8.00,32.00,12.00,6.61,3.96,2.64
